year,doy,hour,solar,netsolar,dw_solar,up_solar,temp,rh,windspeed,precip,day_length
2006,1,0,0.966,0,0,0.01,-0.4,0.91505,3.675,0,8
2006,1,1,1.357,0,0,0,-0.22,0.9157,4.205,0,8.000168695
2006,1,2,1.357,0,0,0,-0.135,0.9263,3.825,0,8.000407082
2006,1,3,1.426,0,0,0,0.215,0.92205,4.26,0,8.000660158
2006,1,4,1.403,0,0,0,0.29,0.92335,4.345,0,8.00091017
2006,1,5,1.449,0,0,0,0.63,0.91255,5.13,0,8.00113764
2006,1,6,1.357,0,0,0.04,1.055,0.88615,5.745,0,8.001326152
2006,1,7,18.676,5.28,6.105,2.36,0.86,0.8975,5.685,0,8.007867369
2006,1,8,109.02,38.56,49.635,12.89,1.045,0.89465,5.985,0,8.322511183
2006,1,9,174.777,61.04,79.175,19.36,1.855,0.86025,7.02,0,8.326528339
2006,1,10,221.72,75.46,98.115,24.255,2.795,0.8145,7.86,0,8.326550781
2006,1,11,341.044,118.015,155.23,38.735,4.655,0.75545,8.655,0,8.326550812
2006,1,12,367.195,128.645,169.82,42.94,6.65,0.70975,8.61,0,8.326550848
2006,1,13,251.804,85.235,111.79,28.615,7.905,0.7009,7.165,0,8.326551006
2006,1,14,133.745,44.905,57.315,14.9,8.615,0.7332,7.385,0,8.32655095
2006,1,15,64.078,20.635,24.6,6.85,8.71,0.74425,8.46,0,8.326549848
2006,1,16,6.279,1.29,0.63,0.57,8.745,0.7821,8.305,0,8.037900335
2006,1,17,0.621,0,0,0.02,9.115,0.80145,7.68,0,8.000948214
2006,1,18,0.943,0,0,0,9.105,0.81395,6.75,0,8.000603007
2006,1,19,1.219,0,0,0,9.405,0.8431,6.915,0,8.000496791
2006,1,20,1.334,0,0,0,9.62,0.85055,7.38,0,8.000440939
2006,1,21,1.495,0,0,0,9.94,0.8625,6.96,0,8.000446557
2006,1,22,1.817,0,0,0,10.565,0.8835,6.89,0,8.000521804
2006,1,23,2.323,0,0,0.13,10.4,0.9137,6.16,0,8.000681303
2006,2,0,2.944,0,0,0.01,11.14,0.9282,5.605,0.021166667,8.000948776
2006,2,1,3.335,0,0,0.03,12.065,0.9218,6.425,0.021166667,8.001336377
2006,2,2,3.174,0,0,0.02,11.88,0.9414,5.755,0.021166667,8.001791252
2006,2,3,3.082,0,0,0.045,11.98,0.9564,5.605,0.021166667,8.002240824
2006,2,4,2.806,0,0,0.005,12.06,0.9701,6.225,0.021166667,8.002648429
2006,2,5,2.875,0,0,0.02,13.085,0.9687,7.235,0.021166667,8.002995573
2006,2,6,2.829,0,0,0.095,13.615,0.9595,5.855,0.021166667,8.003276584
2006,2,7,15.985,3.765,3.495,1.51,13.765,0.9551,6.885,0.021166667,8.006466866
2006,2,8,133.101,45.225,59.49,17.25,14.52,0.949,6.365,0.021166667,8.296040988
2006,2,9,137.402,44.915,58.295,16.76,15.915,0.93065,7.005,0.021166667,8.299434949
2006,2,10,114.77,36.115,45.395,11.61,14.655,0.81055,7.89,0.021166667,8.299451394
2006,2,11,382.076,132.895,174.355,43.355,13.51,0.8947,5.25,0.021166667,8.299451369
2006,2,12,722.476,250.655,340.725,97.43,13.72,0.8316,6.815,0.021166667,8.299451407
2006,2,13,529.414,182.02,252.64,76.13,13.405,0.73565,7.95,0.021166667,8.299451574
2006,2,14,441.853,151.97,212.45,67.975,12.57,0.71485,7.94,0.021166667,8.299451511
2006,2,15,132.204,44.71,60.105,17.525,11.275,0.76735,5.7,0.021166667,8.299451416
2006,2,16,15.548,3.595,4.05,1.725,10.325,0.8122,5.185,0.021166667,8.179149424
2006,2,17,1.38,0,0,0.24,9.295,0.8686,5.41,0.021166667,8.058127852
2006,2,18,1.495,0,0,0.15,8.355,0.9404,5.185,0.021166667,8.057376835
2006,2,19,1.863,0,0,0.43,7.235,0.9703,8.09,0.021166667,8.057263785
2006,2,20,2.024,0,0,0.01,6.675,0.98305,6.65,0.021166667,8.057212815
2006,2,21,2.3,0,0,0.09,7.145,0.9902,5.385,0.021166667,8.057240776
2006,2,22,2.346,0,0,0.485,6.43,0.9914,8.605,0.021166667,8.057358071
2006,2,23,2.737,0,0,0.08,6.085,0.9648,7.27,0.021166667,8.057566615
2006,3,0,2.76,0,0,0.06,5.725,0.9467,7.365,0,8.057868582
2006,3,1,2.576,0,0,0.005,5.455,0.95215,6.465,0,8.058220126
2006,3,2,2.553,0,0,0,5.28,0.9648,5.865,0,8.058587765
2006,3,3,2.438,0,0,0,5.095,0.9718,7.335,0,8.058951476
2006,3,4,2.622,0,0,0,5.075,0.96775,6.54,0,8.059295402
2006,3,5,2.76,0,0,0.01,5.03,0.95885,5.795,0,8.059610994
2006,3,6,2.76,0,0,0,4.96,0.9562,4.05,0,8.059863797
2006,3,7,12.903,2.71,2.4,1.05,4.75,0.95885,4.8,0,8.061174929
2006,3,8,57.362,18.38,21.66,5.565,4.685,0.96335,4.46,0,8.302930911
2006,3,9,125.879,42.46,53.375,12.74,4.83,0.9624,3.335,0,8.314278836
2006,3,10,178.802,60.265,77.525,18.52,5.285,0.94475,2.69,0,8.314323071
2006,3,11,149.063,48.29,62.655,15.105,5.35,0.939,3.785,0,8.314322781
2006,3,12,232.162,78.405,103.77,25.51,5.44,0.94795,4.1,0,8.314322798
2006,3,13,162.403,53.425,70.42,17.62,5.525,0.9385,3.99,0,8.31432277
2006,3,14,104.443,33.065,43.33,11.095,5.33,0.94645,3.73,0,8.314322782
2006,3,15,52.187,15.665,19.51,5.32,5.26,0.95665,3.26,0,8.314255466
2006,3,16,9.545,1.47,1.165,0.755,5.395,0.9577,3.195,0,8.024117639
2006,3,17,1.978,0,0,0.005,5.23,0.96585,3.73,0,8.000961078
2006,3,18,1.909,0,0,0.06,5.08,0.9541,5.135,0,8.000692966
2006,3,19,1.863,0,0,0.005,4.905,0.9643,6.13,0,8.000589929
2006,3,20,2.047,0,0,0.01,4.78,0.97555,7.5,0,8.000558448
2006,3,21,2.139,0,0,0.005,4.62,0.9866,8.045,0,8.000606873
2006,3,22,2.185,0,0,0,4.78,0.99125,8.445,0,8.000736957
2006,3,23,2.277,0,0,0,4.885,0.992,9.22,0,8.000943051
2006,4,0,2.346,0,0,0,5.21,0.98845,9.335,0,8.001217219
2006,4,1,2.576,0,0,0,5.595,0.9693,8.375,0,8.001548344
2006,4,2,2.668,0,0,0,5.93,0.95255,7.575,0,8.001922119
2006,4,3,2.691,0,0,0.1,5.525,0.9471,7.24,0,8.002301851
2006,4,4,2.484,0,0,0.03,5.025,0.95085,7.22,0,8.002644373
2006,4,5,2.438,0,0,0.01,4.72,0.9496,7.735,0,8.002922513
2006,4,6,2.254,0,0,0.06,4.16,0.95315,5.465,0,8.003124439
2006,4,7,45.908,13.655,14.875,5.735,3.815,0.957,5.815,0,8.260154409
2006,4,8,278.852,94.435,122.16,39.965,4.725,0.93045,6.455,0,8.311626851
2006,4,9,194.787,68.87,88.815,20.91,5.415,0.8951,10.155,0,8.31193338
2006,4,10,156.101,52.62,67.22,16.13,5.33,0.91325,9.685,0,8.311934177
2006,4,11,254.288,88.88,116.25,28.375,5.745,0.88775,8.235,0,8.311934158
2006,4,12,232.967,80.64,106.375,26.72,6.05,0.83975,8.85,0,8.311934173
2006,4,13,108.882,34.345,44.65,11.63,5.46,0.8467,9.505,0,8.31193421
2006,4,14,74.589,23.325,29.31,7.755,4.61,0.8544,8.9,0,8.311934248
2006,4,15,39.169,11.405,13.795,4.28,4.075,0.85405,8.995,0,8.304350411
2006,4,16,7.682,1.19,1.03,1.035,3.46,0.8608,8.845,0,7.964123363
2006,4,17,0.529,0,0,0.05,3.235,0.8792,9.16,0,7.956108786
2006,4,18,0.575,0,0,0.04,3.105,0.8722,9.06,0,7.955988352
2006,4,19,0.46,0,0,0.135,2.815,0.85035,8.855,0,7.955934708
2006,4,20,0.46,0,0,0.1,2.485,0.86,7.12,0,7.955927662
2006,4,21,0.46,0,0,0.065,2.365,0.85285,7.245,0,7.955968043
2006,4,22,0.46,0,0,0.185,2.03,0.85915,6.6,0,7.956052787
2006,4,23,0.46,0,0,0.155,1.68,0.8683,7.045,0,7.956176423
2006,5,0,0.46,0,0,0.07,1.55,0.8744,6.675,0,7.956331116
2006,5,1,0.529,0,0,0.08,1.505,0.88615,6.835,0,7.956507463
2006,5,2,0.644,0,0,0.165,1.26,0.87415,7.85,0,7.956697527
2006,5,3,0.529,0,0,0.16,0.905,0.8852,6.82,0,7.956884131
2006,5,4,0.552,0,0,0.03,1.01,0.8699,5.955,0,7.957050098
2006,5,5,0.506,0,0,0.025,1.09,0.8676,5.545,0,7.957187115
2006,5,6,0.506,0,0,0.03,1.1,0.8587,6.18,0,7.957285249
2006,5,7,20.447,6.81,7.91,2.65,1.1,0.8684,5.88,0,7.96378522
2006,5,8,86.365,30.355,38.125,9.75,1.26,0.862,6.65,0,8.182993197
2006,5,9,220.777,79.69,105.03,26.675,1.675,0.83595,8.005,0,8.18553539
2006,5,10,212.681,74.97,98.545,24.72,2.03,0.8221,7.96,0,8.185539249
2006,5,11,235.934,81.81,108.15,26.995,2.035,0.8189,8.605,0,8.185539057
2006,5,12,181.746,61.47,80.845,20.215,1.695,0.8281,8.625,0,8.185539095
2006,5,13,126.431,42.12,54.21,13.475,1.415,0.82285,7.95,0,8.185539242
2006,5,14,115.552,39.235,50.635,12.73,1.44,0.82195,7.395,0,8.185539871
2006,5,15,31.487,9.075,10.545,3.355,1.24,0.8113,7.715,0,8.160483947
2006,5,16,5.244,0.745,0.37,0.645,0.95,0.84115,6.17,0,7.861204298
2006,5,17,0.46,0,0,0.225,0.62,0.79785,7.225,0,7.858391459
2006,5,18,0.46,0,0,0.21,0.295,0.76765,7.385,0,7.858303557
2006,5,19,0.437,0,0,0.14,0.165,0.78,6.48,0,7.85826132
2006,5,20,0.46,0,0,0.145,0.045,0.7919,7.04,0,7.858264507
2006,5,21,0.46,0,0,0.08,0.015,0.77385,6.48,0,7.858314665
2006,5,22,0.391,0,0,0.105,0.06,0.7598,5.835,0,7.858407381
2006,5,23,0.46,0,0,0.13,-0.085,0.80965,5.76,0,7.858535919
2006,6,0,0.391,0,0,0.165,-0.16,0.7558,6.46,0,7.858692831
2006,6,1,0.46,0,0,0.15,-0.23,0.7718,6.415,0,7.858865969
2006,6,2,0.46,0,0,0.16,-0.38,0.7909,6.63,0,7.859047924
2006,6,3,0.46,0,0,0.17,-0.45,0.77415,6.445,0,7.8592222
2006,6,4,0.437,0,0,0.16,-0.6,0.7626,7.42,0,7.859376812
2006,6,5,0.46,0,0,0.24,-0.765,0.75975,6.99,0,7.859501632
2006,6,6,0.414,0,0,0.185,-0.975,0.75305,5.97,0,7.859587651
2006,6,7,10.488,2.835,2.55,1.24,-1.045,0.69925,6.8,0,7.859970224
2006,6,8,47.679,16.305,19.475,5.29,-1.005,0.7186,5.725,0,8.006210798
2006,6,9,127.213,44.995,58.235,14.72,-1.115,0.72105,5.92,0,8.021266509
2006,6,10,244.904,88.755,118.1,29.515,-1.245,0.696,4.715,0,8.021272882
2006,6,11,215.694,76.44,101.505,25.2,-1.31,0.71395,4.315,0,8.021271469
2006,6,12,290.49,104.87,139.825,34.75,-1.38,0.7094,4.3,0,8.02127164
2006,6,13,220.11,77.745,103.145,25.365,-1.09,0.7147,3.805,0,8.021271468
2006,6,14,179.791,63.515,84.945,21.245,-0.84,0.71855,5.165,0,8.021271433
2006,6,15,84.732,29.505,38.88,10.12,-0.855,0.7297,5.035,0,8.021271441
2006,6,16,21.114,6.72,8.11,2.58,-0.9,0.74945,4.705,0,7.925188984
