year,doy,hour,solar,netsolar,dw_solar,up_solar,temp,rh,windspeed,precip,day_length
2004,1,0,0,0,0,0,0.43,0.7529,4.03,0,8
2004,1,1,0,0,0,0.005,0.425,0.7619,3.87,0,8.000114998
2004,1,2,0,0,0,0,0.17,0.77315,3.945,0,8.000267143
2004,1,3,0,0,0,0,0.195,0.7983,4.275,0,8.000426802
2004,1,4,0,0,0,0.03,-0.03,0.82675,4.425,0,8.000582989
2004,1,5,0,0,0,0.04,-0.22,0.8723,4.525,0,8.00072433
2004,1,6,0.069,0.235,0,0,-0.315,0.90525,4.355,0,8.000843264
2004,1,7,17.71,8.005,5.165,2.44,0.465,0.89895,4.555,0,8.005516949
2004,1,8,73.968,27.97,29.74,8.06,1.515,0.88465,4.355,0,8.320072034
2004,1,9,104.811,37.255,42.18,11.275,2.08,0.8748,4.305,0,8.326613892
2004,1,10,213.693,75.285,93.705,24.37,2.77,0.85625,5.27,0,8.326650371
2004,1,11,500.641,179.77,236.785,66.15,4.675,0.81465,6.58,0,8.326650416
2004,1,12,407.445,144.685,186.745,50.215,7.39,0.77445,6.27,0,8.326650456
2004,1,13,391.828,139.93,181.205,51.32,9.205,0.7599,5.63,0,8.326650635
2004,1,14,362.963,131.195,169.685,50.395,10.835,0.73765,7.435,0,8.326650525
2004,1,15,108.974,40.81,46.72,13.89,11.005,0.7597,6.03,0,8.326650581
2004,1,16,17.779,7.685,4.65,2.07,10.94,0.80865,6.31,0,8.181384143
2004,1,17,0.46,0.16,0,0.065,11.19,0.8295,7.4,0,8.047701362
2004,1,18,0.46,0,0,0.005,11.205,0.8797,8.02,0,8.0468277
2004,1,19,0.46,0,0,0.005,11.325,0.90575,7.31,0,8.046739617
2004,1,20,0.46,0,0,0.02,11.12,0.92315,7.2,0,8.046696554
2004,1,21,0.46,0,0,0.01,11.3,0.92075,8.01,0,8.046700784
2004,1,22,0.46,0,0,0.045,11.245,0.9264,8.13,0,8.046752181
2004,1,23,0.46,0,0,0.015,11.215,0.9439,6.73,0,8.046847393
2004,2,0,0.46,0,0,0.005,11.1,0.9609,6.07,0.0635,8.046980824
2004,2,1,0.46,0,0,0,11.01,0.97445,4.855,0.0635,8.047142408
2004,2,2,0.46,0,0,0.075,10.975,0.9782,3.835,0.0635,8.047321912
2004,2,3,0.46,0,0,0,11.05,0.9802,3.88,0.0635,8.047506667
2004,2,4,0.46,0,0,0.02,11.345,0.9811,3.315,0.0635,8.047683867
2004,2,5,0.46,0,0,0.075,11.295,0.982,3.975,0.0635,8.047841412
2004,2,6,0.483,0.175,0,0.08,11.09,0.9822,3.045,0.0635,8.047969191
2004,2,7,26.128,11.065,9.155,2.88,11.155,0.98325,4.125,0.0635,8.088979048
2004,2,8,142.416,54.21,64.65,16.115,12.03,0.9841,5.78,0.0635,8.359718595
2004,2,9,123.073,44.305,50.525,12.29,12.6,0.9848,6.045,0.0635,8.361856028
2004,2,10,180.665,64.615,75.985,17.39,13.13,0.985,7.495,0.0635,8.36186615
2004,2,11,225.239,80.435,96.485,22.47,13.79,0.985,8.66,0.0635,8.361866133
2004,2,12,253.667,92.03,111.5,26.625,14.82,0.9586,10.2,0.0635,8.361866174
2004,2,13,238.119,86.98,105.915,26.795,15.77,0.9029,10.08,0.0635,8.361866353
2004,2,14,163.484,59.03,69.875,18.74,16.175,0.88835,10.365,0.0635,8.361866256
2004,2,15,138.805,51.49,59.475,17.785,16.155,0.8884,10.98,0.0635,8.361866224
2004,2,16,23.529,9.59,6.65,3.01,15.91,0.88475,10.765,0.0635,8.292899714
2004,2,17,0.46,0.19,0,0.035,15.745,0.8811,11.205,0.0635,8.110051374
2004,2,18,0.46,0,0,0.08,15.54,0.88675,10.625,0.0635,8.109003655
2004,2,19,0.46,0,0,0.01,15.515,0.8878,8.835,0.0635,8.108928039
2004,2,20,0.46,0,0,0,15.935,0.87695,9.675,0.0635,8.108897098
2004,2,21,0.46,0,0,0.03,16.885,0.8375,11.3,0.0635,8.108913626
2004,2,22,0.46,0,0,0.275,16.43,0.86935,9.875,0.0635,8.108976754
2004,2,23,0.46,0,0,0.275,15.89,0.8877,8.21,0.0635,8.109083457
2004,3,0,0.46,0,0,0.315,14.85,0.8536,6.395,0.740833333,8.109225316
2004,3,1,0.46,0,0,0.43,13.725,0.7876,5.95,0.740833333,8.109392917
2004,3,2,0.437,0,0,0.46,11.785,0.80465,4.445,0.740833333,8.109575355
2004,3,3,0.46,0,0,0.245,10.18,0.81595,3.435,0.740833333,8.1097588
2004,3,4,0.46,0,0,0.025,9.09,0.83205,2.155,0.740833333,8.10993287
2004,3,5,0.46,0,0,0.01,8.325,0.83885,2.265,0.740833333,8.11008395
2004,3,6,0.46,0.205,0,0.05,7.64,0.8263,2.565,0.740833333,8.110201984
2004,3,7,12.765,4.765,0.94,1.285,6.875,0.8354,3.395,0.740833333,8.111248144
2004,3,8,38.341,14.145,10.845,3.71,6.645,0.82305,3.55,0.740833333,8.285276845
2004,3,9,104.926,39.66,42.945,10.02,6.41,0.85505,3.21,0.740833333,8.334878721
2004,3,10,112.125,41.14,44.89,10.16,6.36,0.8291,5.81,0.740833333,8.335075154
2004,3,11,112.815,39.985,42.025,9.195,6.105,0.8287,5.29,0.740833333,8.3350737
2004,3,12,172.684,62.72,70.73,15.235,5.76,0.8015,6.705,0.740833333,8.335073657
2004,3,13,167.348,62.915,71.545,15.5,5.59,0.79555,6.665,0.740833333,8.335073716
2004,3,14,110.515,41.155,44.76,10.16,5.34,0.77855,5.755,0.740833333,8.335073941
2004,3,15,103.615,39.77,43.905,10.715,5.21,0.77525,6.775,0.740833333,8.335073781
2004,3,16,16.445,6.89,4.45,2.095,4.65,0.77365,5.775,0.740833333,8.199101776
2004,3,17,0.23,0.21,0,0.515,3.77,0.77135,6.835,0.740833333,8.103604992
2004,3,18,0.322,0,0,0.15,3.395,0.81225,6.925,0.740833333,8.103109271
2004,3,19,0.092,0,0,0.1,3.325,0.82035,6.77,0.740833333,8.103051829
2004,3,20,0.437,0,0,0.215,3.1,0.8657,6.805,0.740833333,8.103034239
2004,3,21,0.46,0,0,0.305,2.455,0.8896,6.605,0.740833333,8.103062822
2004,3,22,0.46,0,0,0.17,2.245,0.92255,6.1,0.740833333,8.103138012
2004,3,23,0.46,0,0,0.415,1.675,0.92395,7.94,0.740833333,8.10325389
2004,4,0,0.46,0,0,0.275,1.195,0.928,9.575,0.9525,8.103403503
2004,4,1,0.437,0,0,0.38,0.825,0.90035,10.995,0.9525,8.103575247
2004,4,2,0.437,0,0,0.095,0.655,0.8992,9.365,0.9525,8.103757714
2004,4,3,0.437,0,0,0.115,0.665,0.90605,9.34,0.9525,8.103938775
2004,4,4,0.345,0,0,0.04,0.66,0.9072,8.83,0.9525,8.104104426
2004,4,5,0.368,0,0,0.045,0.82,0.89285,8.595,0.9525,8.104242904
2004,4,6,0.368,0.175,0,0.05,0.785,0.89635,9.09,0.9525,8.104347587
2004,4,7,8.993,4.1,1.135,0.75,0.94,0.89245,9.575,0.9525,8.104706957
2004,4,8,47.932,17,15.01,3.65,1.165,0.9006,9.12,0.9525,8.290097417
2004,4,9,54.901,19.53,17.345,3.66,1.175,0.91405,9.32,0.9525,8.310074552
2004,4,10,51.75,17.665,14.995,3.13,1.445,0.9068,9.035,0.9525,8.309398256
2004,4,11,55.407,18.14,15.85,3.495,1.15,0.9215,8.34,0.9525,8.308421514
2004,4,12,79.488,27.415,27.14,5.19,0.92,0.92435,9.415,0.9525,8.308299584
2004,4,13,69.253,24.545,23.055,4.675,1.06,0.91575,8.135,0.9525,8.308296457
2004,4,14,70.771,26.21,24.785,5.225,1.07,0.91145,8.305,0.9525,8.308290406
2004,4,15,24.702,8.34,3.23,1.645,0.94,0.93205,7.125,0.9525,8.137035756
2004,4,16,8.05,2.705,0.06,0.45,0.74,0.9512,8.305,0.9525,7.933280617
2004,4,17,2.783,0.21,0,0.255,0.395,0.95,8.25,0.9525,7.930967868
2004,4,18,2.76,0,0,0.385,-0.395,0.94495,9.3,0.9525,7.930757479
2004,4,19,3.059,0,0,0.075,-0.795,0.9366,8.9,0.9525,7.930638705
