year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
1989	2	16	18.3	 	8.9	 	26	 	13.91	 	33.1	 	21.1	 	26.6	 	95.9	 	71.8	 	87.7	 	23.4	 	----	M	0.06	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
1989	2	17	24	 	10.2	 	45.7	 	11.61	 	31.6	 	21.4	 	26.4	 	96.8	 	78.7	 	89.4	 	23.7	 	----	M	0.05	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
1989	2	18	20.3	 	6.5	 	50.8	 	11.13	 	32.1	 	20.2	 	27.1	 	97.2	 	71.2	 	88	 	23.9	 	----	M	0.05	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
1989	2	19	10.5	 	2.4	 	112.7	 	4.05	 	35.4	 	30.2	 	32.5	 	100	 	87.1	 	96.7	 	31.6	 	----	M	0.02	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
1989	2	20	19	 	5.4	 	45.5	 	2.53	 	37.2	 	30.8	 	34.5	 	100	 	99.7	 	100	 	34.5	 	----	M	0.01	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
1989	2	21	24.8	 	9.6	 	320.1	 	14.39	 	33.8	 	25.1	 	29.5	 	100	 	70.7	 	92.1	 	27.5	 	----	M	0.07	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
1989	2	22	30.5	 	11.2	 	321.6	 	15.36	 	26	 	13.5	 	19.4	 	96.4	 	67.4	 	87	 	16.2	 	----	M	0.06	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
1989	2	23	24.4	 	8.1	 	355.1	 	17.58	 	22.2	 	7.6	 	14.4	 	87.4	 	58.9	 	76.1	 	8.1	 	----	M	0.07	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
1989	2	24	15.5	 	5.8	 	187.9	 	14.71	 	28.7	 	7.7	 	20.8	 	93.4	 	47.4	 	76	 	14.2	 	----	M	0.06	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
1989	2	25	21.3	 	7.1	 	217.4	 	13.02	 	44.1	 	22.8	 	34	 	100	 	69.1	 	89.6	 	31.1	 	----	M	0.07	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
1989	2	26	36.2	 	10.4	 	301.7	 	10.28	 	39.2	 	22.8	 	29.8	 	100	 	71.1	 	91.3	 	27.5	 	----	M	0.05	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
1989	2	27	11.2	 	3.9	 	316	 	17.46	 	29.3	 	17.1	 	23.2	 	96.7	 	65.1	 	86.3	 	19.6	 	----	M	0.08	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
1989	2	28	25.1	 	7.8	 	280.4	 	14.52	 	35.2	 	20.6	 	26.8	 	98.4	 	64.3	 	88.2	 	23.5	 	----	M	0.07	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
1989	3	1	12.6	 	4.2	 	348.4	 	12.71	 	28.9	 	15.5	 	23	 	93.6	 	41.1	 	75.9	 	16	 	----	M	0.06	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
1989	3	2	19.6	 	5.8	 	75.3	 	9.52	 	37.2	 	24.7	 	30.2	 	92.4	 	66.1	 	81.8	 	25.2	 	----	M	0.05	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
1989	3	3	26.4	 	8.1	 	145.1	 	8.16	 	55.4	 	34.2	 	45.9	 	100	 	74.2	 	90.1	 	43.2	 	----	M	0.06	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
1989	3	4	23.9	 	9.2	 	271	 	4.2	 	53.1	 	30.3	 	42.4	 	100	 	96.4	 	99.3	 	42.3	 	----	M	0.03	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
1989	3	5	42.1	 	16.5	 	20.3	 	4.19	 	30.5	 	26.2	 	27.7	 	100	 	80.3	 	94.3	 	26.2	 	----	M	0.02	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
1989	3	6	39	 	17	 	33.1	 	5.25	 	27.7	 	22.2	 	24.8	 	100	 	77.4	 	91.7	 	22.6	 	----	M	0.02	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
1989	3	7	20.4	 	7.6	 	50.4	 	19.42	 	31.6	 	15.4	 	22.8	 	94.5	 	65.2	 	82.3	 	18.1	 	----	M	0.09	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
1989	3	8	12.4	 	3.2	 	98.1	 	17.1	 	35.8	 	16.4	 	26.6	 	98.7	 	76.2	 	90.4	 	24.1	 	----	M	0.08	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
1989	3	9	11.4	 	2.5	 	133.4	 	18.07	 	42.3	 	25.6	 	34.2	 	100	 	79.1	 	94.2	 	32.5	 	----	M	0.1	 	----	M	----	M	----	M	----	M	----	M	----	M													cmi
